"Sentrumssoner, etter region, statistikkvariabel og år"

"region";"Sentrumssoner 2000";"Sentrumssoner 2003";"Sentrumssoner 2004";"Sentrumssoner 2005";"Sentrumssoner 2006";"Sentrumssoner 2007";"Sentrumssoner 2008";"Sentrumssoner 2009";"Sentrumssoner 2010";"Sentrumssoner 2011";"Sentrumssoner 2012";"Sentrumssoner 2013";"Sentrumssoner 2014";"Sentrumssoner 2015";"Sentrumssoner 2016";"Sentrumssoner 2017";"Areal av sentrumsområder (km²) 2000";"Areal av sentrumsområder (km²) 2003";"Areal av sentrumsområder (km²) 2004";"Areal av sentrumsområder (km²) 2005";"Areal av sentrumsområder (km²) 2006";"Areal av sentrumsområder (km²) 2007";"Areal av sentrumsområder (km²) 2008";"Areal av sentrumsområder (km²) 2009";"Areal av sentrumsområder (km²) 2010";"Areal av sentrumsområder (km²) 2011";"Areal av sentrumsområder (km²) 2012";"Areal av sentrumsområder (km²) 2013";"Areal av sentrumsområder (km²) 2014";"Areal av sentrumsområder (km²) 2015";"Areal av sentrumsområder (km²) 2016";"Areal av sentrumsområder (km²) 2017";"Busette 2000";"Busette 2003";"Busette 2004";"Busette 2005";"Busette 2006";"Busette 2007";"Busette 2008";"Busette 2009";"Busette 2010";"Busette 2011";"Busette 2012";"Busette 2013";"Busette 2014";"Busette 2015";"Busette 2016";"Busette 2017";"Tilsette 2000";"Tilsette 2003";"Tilsette 2004";"Tilsette 2005";"Tilsette 2006";"Tilsette 2007";"Tilsette 2008";"Tilsette 2009";"Tilsette 2010";"Tilsette 2011";"Tilsette 2012";"Tilsette 2013";"Tilsette 2014";"Tilsette 2015";"Tilsette 2016";"Tilsette 2017";"Bedrifter 2000";"Bedrifter 2003";"Bedrifter 2004";"Bedrifter 2005";"Bedrifter 2006";"Bedrifter 2007";"Bedrifter 2008";"Bedrifter 2009";"Bedrifter 2010";"Bedrifter 2011";"Bedrifter 2012";"Bedrifter 2013";"Bedrifter 2014";"Bedrifter 2015";"Bedrifter 2016";"Bedrifter 2017"
"0101 Halden";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.56;0.60;0.60;0.66;0.61;0.56;0.59;0.59;0.62;0.60;0.58;0.49;0.34;0.34;0.29;0.25;1380;1679;1656;1814;1560;1443;1534;1599;1935;1804;1841;1421;1266;1346;1178;976;3299;3327;3429;3147;3087;3295;3366;3545;3520;3245;3165;3058;3077;3026;2832;2715;640;608;572;618;610;609;656;649;669;614;597;548;625;664;608;534
"0104 Moss";2;2;2;2;2;2;1;1;2;1;1;2;2;2;3;3;0.81;0.86;0.74;0.73;0.73;0.76;0.71;0.68;0.76;0.62;0.73;0.70;0.35;0.33;0.34;0.35;1666;2350;1798;1822;1896;2050;2014;2165;2441;2118;2854;2500;1575;1656;1472;1681;4675;5018;4075;4088;3808;4311;3967;3901;3909;3797;3968;3905;3098;2980;3087;3136;904;984;847;861;886;934;832;830;873;802;864;840;756;797;852;883
"0105 Sarpsborg";5;5;6;7;8;7;5;5;5;4;4;6;8;10;9;9;0.79;0.79;0.86;0.94;0.98;0.93;0.81;0.80;0.82;0.77;0.78;0.88;0.37;0.42;0.40;0.40;2075;2218;2261;2391;2521;2670;2633;2536;2760;2838;2874;2978;1184;1124;1301;1206;4643;5020;4992;5703;5821;6056;5318;6166;6111;5363;5057;5157;5058;5395;4767;5120;788;787;735;790;854;834;789;765;772;758;741;763;750;790;761;757
"0106 Fredrikstad";8;8;9;8;8;9;10;8;7;6;8;9;9;10;13;13;1.29;1.31;1.33;1.24;1.21;1.37;1.53;1.43;1.39;1.16;1.29;1.44;0.48;0.53;0.63;0.70;2963;2797;2841;2419;2661;3467;3872;3901;3931;3241;3626;3792;1794;1616;1987;2284;9267;9138;6088;6163;5622;6769;7459;7445;7102;6324;6368;7608;6051;6435;8231;7856;1100;1174;1125;1124;1144;1315;1344;1224;1252;1135;1186;1291;1139;1149;1335;1440
"0111 Hvaler";0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0.00;0.11;0.11;0.10;0.10;0.12;0.12;0.12;0.13;0.10;0.10;0.10;0.00;0.01;0.00;0.01;0;74;71;66;66;88;89;89;93;89;76;85;0;15;0;1;0;74;82;75;77;112;103;117;82;109;102;86;0;62;0;105;0;20;22;24;26;31;28;27;28;32;33;32;0;17;0;14
"0118 Aremark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"0119 Marker";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.08;0.10;0.07;0.11;0.08;0.09;0.09;0.09;0.09;0.14;0.14;0.15;0.03;0.03;0.02;0.03;65;125;90;120;85;132;121;112;119;197;192;228;91;84;36;84;75;84;69;86;78;162;140;159;178;199;226;243;158;104;91;130;23;22;18;40;49;56;46;49;50;65;67;62;55;50;38;43
"0121 Rømskog";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"0122 Trøgstad";0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0.00;0.06;0.00;0.06;0.06;0.06;0.06;0.06;0.11;0.11;0.11;0.11;0.02;0.02;0.02;0.02;0;77;0;79;99;87;90;74;167;158;150;154;31;32;32;28;0;123;0;129;119;202;203;213;214;238;257;269;243;237;245;258;0;28;0;27;30;41;40;44;48;48;47;52;46;41;40;36
"0123 Spydeberg";0;0;0;0;0;0;0;1;2;1;1;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.19;0.08;0.08;0.00;0.00;0.00;0.02;0.00;0;0;0;0;0;0;0;186;264;93;87;0;0;0;94;0;0;0;0;0;0;0;0;241;499;177;164;0;0;0;80;0;0;0;0;0;0;0;0;58;92;37;35;0;0;0;25;0
