"region";"år";"statistikkvariabel";"Folkemengde 1. januar, etter region, år og statistikkvariabel"
"0101 Halden";"1986";"Personer";25844
"0101 Halden";"1987";"Personer";25807
"0101 Halden";"1988";"Personer";25848
"0101 Halden";"1989";"Personer";25841
"0101 Halden";"1990";"Personer";25816
"0101 Halden";"1991";"Personer";25852
"0101 Halden";"1992";"Personer";25831
"0101 Halden";"1993";"Personer";25896
"0101 Halden";"1994";"Personer";25908
"0101 Halden";"1995";"Personer";25953
"0101 Halden";"1996";"Personer";26021
"0101 Halden";"1997";"Personer";26162
"0101 Halden";"1998";"Personer";26417
"0101 Halden";"1999";"Personer";26523
"0101 Halden";"2000";"Personer";26733
"0101 Halden";"2001";"Personer";27133
"0101 Halden";"2002";"Personer";27204
"0101 Halden";"2003";"Personer";27438
"0101 Halden";"2004";"Personer";27464
"0101 Halden";"2005";"Personer";27582
"0101 Halden";"2006";"Personer";27722
"0101 Halden";"2007";"Personer";27835
"0101 Halden";"2008";"Personer";28092
"0101 Halden";"2009";"Personer";28389
"0101 Halden";"2010";"Personer";28776
"0101 Halden";"2011";"Personer";29220
"0101 Halden";"2012";"Personer";29543
"0101 Halden";"2013";"Personer";29880
"0101 Halden";"2014";"Personer";30132
"0101 Halden";"2015";"Personer";30328
"0101 Halden";"2016";"Personer";30544
"0101 Halden";"2017";"Personer";30790
"0104 Moss";"1986";"Personer";24548
"0104 Moss";"1987";"Personer";24668
"0104 Moss";"1988";"Personer";24747
"0104 Moss";"1989";"Personer";24720
"0104 Moss";"1990";"Personer";24657
"0104 Moss";"1991";"Personer";24725
"0104 Moss";"1992";"Personer";24805
"0104 Moss";"1993";"Personer";25013
"0104 Moss";"1994";"Personer";25071
"0104 Moss";"1995";"Personer";25239
"0104 Moss";"1996";"Personer";25358
"0104 Moss";"1997";"Personer";25524
"0104 Moss";"1998";"Personer";25860
"0104 Moss";"1999";"Personer";26242
"0104 Moss";"2000";"Personer";26633
"0104 Moss";"2001";"Personer";27143
"0104 Moss";"2002";"Personer";27338
"0104 Moss";"2003";"Personer";27534
"0104 Moss";"2004";"Personer";27732
"0104 Moss";"2005";"Personer";28040
"0104 Moss";"2006";"Personer";28182
"0104 Moss";"2007";"Personer";28633
"0104 Moss";"2008";"Personer";29073
"0104 Moss";"2009";"Personer";29588
"0104 Moss";"2010";"Personer";30030
"0104 Moss";"2011";"Personer";30265
"0104 Moss";"2012";"Personer";30723
"0104 Moss";"2013";"Personer";30988
"0104 Moss";"2014";"Personer";31308
"0104 Moss";"2015";"Personer";31802
"0104 Moss";"2016";"Personer";32182
"0104 Moss";"2017";"Personer";32407
"0105 Sarpsborg";"1986";"Personer";0
"0105 Sarpsborg";"1987";"Personer";0
"0105 Sarpsborg";"1988";"Personer";0
"0105 Sarpsborg";"1989";"Personer";0
"0105 Sarpsborg";"1990";"Personer";0
