Nummer;Navn;Adm. senter;Folketall;Areal;Ant. komm.;Målform[6];Ordfører;Parti;Fylkesmann
1; Østfold;Sarpsborg;292 893;4 180,68;18;bokmål;Ole Haabeth;Ap;Trond Rønningen
2; Akershus;Oslo;604 368;4 917,93;22;nøytral;Anette Solli;H;Valgerd Svarstad Haugland
3; Oslo;Oslo;666 757;454,08;1;nøytral;Marianne Borgen;SV;Felles med Akershus
4; Hedmark;Hamar;196 190;27 397,79;22;nøytral;Dag Rønning[b];Sp;Sigbjørn Johnsen
5; Oppland;Lillehammer;189 479;25 192,09;26;nøytral;Even Aleksander Hagen;Ap;Sigurd Tremoen
6; Buskerud;Drammen;279 714;14 910,93;21;nøytral;Morten Eriksrød;H;Helen Bjørnøy
7; Vestfold;Tønsberg;247 055;2 225,05;9;bokmål;Rune Hogsnes;H;Per Arne Olsen
8; Telemark;Skien;173 307;15 296,32;18;nøytral;Sven Tore Løkslid;Ap;Kari Nordheim-Larsen
9; Aust-Agder;Arendal;116 671;9 157,76;15;nøytral;Tellef Inge Mørland;Ap;Stein A. Ytterdahl
10; Vest-Agder;Kristiansand;184 116;7 276,52;15;nøytral;Terje Damman;H;Felles med Aust-Agder
11; Rogaland;Stavanger;472 023;9 376,63;26;nøytral;Solveig Ege Tengesdal;KrF;Magnhild Meltveit Kleppa
12; Hordaland;Bergen;519 961;15 436,65;33;nynorsk;Anne Gine Hestetun;Ap;Lars Sponheim
14; Sogn og Fjordane;Leikanger;110 266;18 619,21;26;nynorsk;Jenny Følling;Sp;Anne Karin Hamre
15; Møre og Romsdal;Molde;266 274;15 099,65;36;nynorsk;Jon Aasen;Ap;Lodve Solholm
50; Trøndelag;Steinkjer;454 596;41 254;47;nøytral;Tore O. Sandvik;Ap;Frank Jenssen
18; Nordland;Bodø;242 866;38 481,13;44;nøytral;Sonja Alice Steen[c];Ap;Hill-Marta Solberg
19; Troms;Tromsø;165 632;25 862,92;24;nøytral;Knut Werner Hansen[d];Ap;Bård Magne Pedersen
20; Finnmark;Vadsø;76 149;48 631,08;19;nøytral;Runar Sjåstad;Ap;Gunnar Kjønnøy
