"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2010","Andel av befolkningen (prosent) 2011","Andel av befolkningen (prosent) 2012","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Danmark",19298,19522,19823,20304,20897,21736,21762,21447,0.40,0.40,0.40,0.40,0.41,0.42,0.42,0.41
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Grønland",164,172,170,180,190,204,221,215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Finland",6665,6626,6660,6711,6797,6894,7012,6993,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",754,751,787,804,848,844,826,794,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Island",4966,6022,7125,7756,8169,8660,9005,8704,0.10,0.12,0.14,0.15,0.16,0.17,0.17,0.17
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sverige",31193,34108,36578,37467,38414,39116,39955,39266,0.64,0.69,0.73,0.74,0.75,0.76,0.77,0.75
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Albania",491,539,598,694,878,1118,1433,1736,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Andorra",7,6,6,9,9,11,12,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Belgia",879,939,994,1089,1153,1212,1284,1302,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",15918,16125,16338,16613,16845,17161,17402,17684,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",2152,2693,3337,4162,5227,6078,6920,7321,0.04,0.05,0.07,0.08,0.10,0.12,0.13,0.14
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Estland",2092,2871,3817,4632,5092,5418,5468,5379,0.04,0.06,0.08,0.09,0.10,0.10,0.10,0.10
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",3930,4289,4716,5022,5276,5656,5805,5829,0.08,0.09,0.09,0.10,0.10,0.11,0.11,0.11
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,3,3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,3,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Hellas",743,834,1035,1364,1776,2138,2439,2703,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.05
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Hviterussland",710,752,839,958,1045,1111,1165,1216,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
