"region","innvandringskategori","landbakgrunn","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Danmark",20304,20897,21736,21762,21447,0.40,0.41,0.42,0.42,0.41
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Grønland",180,190,204,221,215,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Finland",6711,6797,6894,7012,6993,0.13,0.13,0.13,0.13,0.13
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",804,848,844,826,794,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Island",7756,8169,8660,9005,8704,0.15,0.16,0.17,0.17,0.17
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sverige",37467,38414,39116,39955,39266,0.74,0.75,0.76,0.77,0.75
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Albania",694,878,1118,1433,1736,0.01,0.02,0.02,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Andorra",9,9,11,12,14,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Belgia",1089,1153,1212,1284,1302,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",16613,16845,17161,17402,17684,0.33,0.33,0.33,0.33,0.34
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",4162,5227,6078,6920,7321,0.08,0.10,0.12,0.13,0.14
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Estland",4632,5092,5418,5468,5379,0.09,0.10,0.10,0.10,0.10
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",5022,5276,5656,5805,5829,0.10,0.10,0.11,0.11,0.11
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",3,3,3,3,3,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,3,4,4,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere","Danmark",18672,19220,19973,19827,19494,0.37,0.38,0.39,0.38,0.37
"0 Hele landet","Innvandrere","Grønland",173,182,194,209,200,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere","Finland",6182,6252,6336,6362,6333,0.12,0.12,0.12,0.12,0.12
"0 Hele landet","Innvandrere","Færøyene",729,772,764,732,700,0.01,0.02,0.01,0.01,0.01
"0 Hele landet","Innvandrere","Island",7143,7487,7924,8198,7883,0.14,0.15,0.15,0.16,0.15
"0 Hele landet","Innvandrere","Sverige",35602,36369,36887,37134,36315,0.70,0.71,0.71,0.71,0.69
"0 Hele landet","Innvandrere","Albania",568,729,948,1222,1479,0.01,0.01,0.02,0.02,0.03
"0 Hele landet","Innvandrere","Andorra",9,9,11,12,14,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere","Belgia",1010,1068,1125,1185,1196,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere","Bosnia-Hercegovina",13232,13315,13453,13474,13591,0.26,0.26,0.26,0.26,0.26
"0 Hele landet","Innvandrere","Bulgaria",3917,4914,5681,6415,6726,0.08,0.10,0.11,0.12,0.13
"0 Hele landet","Innvandrere","Estland",4394,4791,5067,5078,4944,0.09,0.09,0.10,0.10,0.09
"0 Hele landet","Innvandrere","Frankrike",4700,4921,5228,5316,5307,0.09,0.10,0.10,0.10,0.10
"0 Hele landet","Innvandrere","Gibraltar",0,0,0,3,3,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere","Guernsey",0,0,3,4,4,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Danmark",1632,1677,1763,1935,1953,0.03,0.03,0.03,0.04,0.04
"0 Hele landet","Norskfødte med innvandrerforeldre","Grønland",7,8,10,12,15,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Finland",529,545,558,650,660,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Norskfødte med innvandrerforeldre","Færøyene",75,76,80,94,94,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Island",613,682,736,807,821,0.01,0.01,0.01,0.02,0.02
"0 Hele landet","Norskfødte med innvandrerforeldre","Sverige",1865,2045,2229,2821,2951,0.04,0.04,0.04,0.05,0.06
"0 Hele landet","Norskfødte med innvandrerforeldre","Albania",126,149,170,211,257,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Belgia",79,85,87,99,106,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",3381,3530,3708,3928,4093,0.07,0.07,0.07,0.08,0.08
"0 Hele landet","Norskfødte med innvandrerforeldre","Bulgaria",245,313,397,505,595,0.00,0.01,0.01,0.01,0.01
"0 Hele landet","Norskfødte med innvandrerforeldre","Estland",238,301,351,390,435,0.00,0.01,0.01,0.01,0.01
"0 Hele landet","Norskfødte med innvandrerforeldre","Frankrike",322,355,428,489,522,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Danmark",1311,1294,1292,1306,1290,0.46,0.45,0.45,0.45,0.44
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Grønland",9,10,9,10,10,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Finland",282,285,298,314,330,0.10,0.10,0.10,0.11,0.11
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",36,37,37,38,40,0.01,0.01,0.01,0.01,0.01
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Island",425,468,492,551,576,0.15,0.16,0.17,0.19,0.20
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Sverige",2360,2386,2435,2585,2620,0.84,0.84,0.85,0.89,0.89
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Albania",66,72,82,101,126,0.02,0.03,0.03,0.03,0.04
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Belgia",37,47,47,48,44,0.01,0.02,0.02,0.02,0.02
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",2225,2255,2298,2336,2371,0.79,0.79,0.80,0.81,0.81
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",122,159,172,185,211,0.04,0.06,0.06,0.06,0.07
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Estland",215,220,231,236,259,0.08,0.08,0.08,0.08,0.09
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",110,119,127,120,125,0.04,0.04,0.04,0.04,0.04
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere","Danmark",1192,1169,1174,1165,1151,0.42,0.41,0.41,0.40,0.39
"01 Østfold","Innvandrere","Grønland",9,10,9,10,9,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere","Finland",255,256,269,284,295,0.09,0.09,0.09,0.10,0.10
"01 Østfold","Innvandrere","Færøyene",30,29,29,28,29,0.01,0.01,0.01,0.01,0.01
"01 Østfold","Innvandrere","Island",392,433,454,507,531,0.14,0.15,0.16,0.17,0.18
"01 Østfold","Innvandrere","Sverige",2231,2257,2297,2379,2393,0.79,0.79,0.80,0.82,0.82
"01 Østfold","Innvandrere","Albania",46,50,59,73,92,0.02,0.02,0.02,0.03,0.03
"01 Østfold","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere","Belgia",35,44,44,45,40,0.01,0.02,0.02,0.02,0.01
"01 Østfold","Innvandrere","Bosnia-Hercegovina",1699,1704,1715,1715,1740,0.60,0.60,0.60,0.59,0.59
"01 Østfold","Innvandrere","Bulgaria",111,144,154,166,186,0.04,0.05,0.05,0.06,0.06
"01 Østfold","Innvandrere","Estland",207,208,217,220,236,0.07,0.07,0.08,0.08,0.08
"01 Østfold","Innvandrere","Frankrike",101,111,118,108,112,0.04,0.04,0.04,0.04,0.04
"01 Østfold","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Norskfødte med innvandrerforeldre","Danmark",119,125,118,141,139,0.04,0.04,0.04,0.05,0.05
"01 Østfold","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,3,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Norskfødte med innvandrerforeldre","Finland",27,29,29,30,35,0.01,0.01,0.01,0.01,0.01
"01 Østfold","Norskfødte med innvandrerforeldre","Færøyene",6,8,8,10,11,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Norskfødte med innvandrerforeldre","Island",33,35,38,44,45,0.01,0.01,0.01,0.02,0.02
"01 Østfold","Norskfødte med innvandrerforeldre","Sverige",129,129,138,206,227,0.05,0.05,0.05,0.07,0.08
"01 Østfold","Norskfødte med innvandrerforeldre","Albania",20,22,23,28,34,0.01,0.01,0.01,0.01,0.01
"01 Østfold","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Norskfødte med innvandrerforeldre","Belgia",3,3,3,3,4,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",526,551,583,621,631,0.19,0.19,0.20,0.21,0.22
"01 Østfold","Norskfødte med innvandrerforeldre","Bulgaria",11,15,18,19,25,0.00,0.01,0.01,0.01,0.01
"01 Østfold","Norskfødte med innvandrerforeldre","Estland",8,12,14,16,23,0.00,0.00,0.00,0.01,0.01
"01 Østfold","Norskfødte med innvandrerforeldre","Frankrike",9,8,9,12,13,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"01 Østfold","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Danmark",142,141,145,147,145,0.48,0.47,0.48,0.48,0.47
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Finland",29,29,31,38,45,0.10,0.10,0.10,0.12,0.15
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",3,3,0,0,3,0.01,0.01,0.00,0.00,0.00
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Island",38,36,47,49,44,0.13,0.12,0.15,0.16,0.14
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Sverige",376,363,374,421,419,1.26,1.20,1.23,1.38,1.36
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Albania",12,13,12,14,15,0.04,0.04,0.04,0.05,0.05
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Belgia",12,13,12,12,11,0.04,0.04,0.04,0.04,0.04
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",88,89,91,87,93,0.29,0.30,0.30,0.28,0.30
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",10,13,12,12,14,0.03,0.04,0.04,0.04,0.05
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Estland",18,18,19,15,17,0.06,0.06,0.06,0.05,0.06
