"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017"
"0 Hele landet","Innvandrere","Danmark",17774,17957,18227,18672,19220,19973,19827,19494
"0 Hele landet","Innvandrere","Grønland",159,166,164,173,182,194,209,200
"0 Hele landet","Innvandrere","Finland",6163,6131,6160,6182,6252,6336,6362,6333
"0 Hele landet","Innvandrere","Færøyene",688,682,716,729,772,764,732,700
"0 Hele landet","Innvandrere","Island",4540,5556,6572,7143,7487,7924,8198,7883
"0 Hele landet","Innvandrere","Sverige",29763,32538,34838,35602,36369,36887,37134,36315
"0 Hele landet","Innvandrere","Albania",412,443,488,568,729,948,1222,1479
"0 Hele landet","Innvandrere","Andorra",6,5,6,9,9,11,12,14
"0 Hele landet","Innvandrere","Belgia",816,868,925,1010,1068,1125,1185,1196
"0 Hele landet","Innvandrere","Bosnia-Hercegovina",13103,13111,13146,13232,13315,13453,13474,13591
"0 Hele landet","Innvandrere","Bulgaria",2018,2531,3138,3917,4914,5681,6415,6726
"0 Hele landet","Innvandrere","Estland",1981,2737,3630,4394,4791,5067,5078,4944
"0 Hele landet","Innvandrere","Frankrike",3684,4024,4424,4700,4921,5228,5316,5307
"0 Hele landet","Innvandrere","Gibraltar",3,3,0,0,0,0,3,3
"0 Hele landet","Innvandrere","Guernsey",0,0,0,0,0,3,4,4
"0 Hele landet","Innvandrere","Hellas",702,790,987,1312,1711,2060,2339,2586
"0 Hele landet","Innvandrere","Hviterussland",671,705,777,872,933,983,1020,1047
"0 Hele landet","Innvandrere","Irland",610,698,790,883,953,990,1027,1027
"0 Hele landet","Innvandrere","Italia",1892,2122,2389,2756,3122,3525,3888,4069
"0 Hele landet","Innvandrere","Jersey",0,0,0,0,0,0,3,0
"0 Hele landet","Innvandrere","Kosovo",9417,9525,9686,9821,9914,10016,9896,10034
"0 Hele landet","Innvandrere","Kroatia",2685,2732,2828,2959,3017,3348,3747,4124
"0 Hele landet","Innvandrere","Latvia",2710,4777,6663,8077,8920,9602,9963,10052
"0 Hele landet","Innvandrere","Liechtenstein",22,25,24,23,22,21,21,21
"0 Hele landet","Innvandrere","Litauen",9838,15519,22673,28605,32917,35901,37376,37638
"0 Hele landet","Innvandrere","Luxembourg",37,37,36,37,40,40,43,44
"0 Hele landet","Innvandrere","Makedonia",2168,2229,2290,2363,2425,2503,2568,2692
"0 Hele landet","Innvandrere","Malta",44,55,54,66,72,76,76,79
"0 Hele landet","Innvandrere","Man",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Moldova",302,348,408,512,635,769,912,987
"0 Hele landet","Innvandrere","Monaco",8,11,12,12,11,10,12,10
"0 Hele landet","Innvandrere","Montenegro",289,298,323,342,362,389,426,443
"0 Hele landet","Innvandrere","Nederland",6270,6550,6818,7086,7260,7589,7729,7713
"0 Hele landet","Innvandrere","Polen",49309,56878,67339,76662,84004,90962,95724,97196
"0 Hele landet","Innvandrere","Portugal",1011,1145,1462,1853,2414,2810,3057,3211
"0 Hele landet","Innvandrere","Romania",4235,5245,6322,7947,10116,11923,13380,13889
"0 Hele landet","Innvandrere","Russland",13470,14228,14953,15802,16412,16803,17058,17225
"0 Hele landet","Innvandrere","San Marino",3,4,4,4,4,4,5,5
"0 Hele landet","Innvandrere","Serbia",2215,2388,2635,3050,3508,4012,4710,5361
"0 Hele landet","Innvandrere","Serbia og Montenegro",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Slovakia",2045,2374,2801,3232,3538,3834,3967,3902
"0 Hele landet","Innvandrere","Slovenia",184,218,238,283,317,371,386,407
"0 Hele landet","Innvandrere","Spania",2070,2432,2977,3882,4686,5361,5779,6049
"0 Hele landet","Innvandrere","Storbritannia",12140,12675,13211,13718,13975,14294,14475,14330
"0 Hele landet","Innvandrere","Sveits",1094,1136,1201,1283,1298,1326,1352,1388
"0 Hele landet","Innvandrere","Tsjekkia",1315,1443,1601,1757,1950,2102,2181,2201
"0 Hele landet","Innvandrere","Tyrkia",10378,10583,10696,10786,10939,11049,11142,11330
"0 Hele landet","Innvandrere","Tyskland",21341,22651,23740,24240,24336,24611,24909,24601
"0 Hele landet","Innvandrere","Ukraina",2440,2714,3104,3499,3838,4181,4572,4881
"0 Hele landet","Innvandrere","Ungarn",1863,2152,2474,2844,3244,3600,3811,3863
"0 Hele landet","Innvandrere","Vatikanstaten",0,0,0,0,0,0,0,3
"0 Hele landet","Innvandrere","Østerrike",956,1030,1071,1145,1194,1211,1263,1287
"0 Hele landet","Innvandrere","Algerie",1100,1114,1140,1178,1180,1198,1224,1240
"0 Hele landet","Innvandrere","Angola",366,385,405,434,442,472,498,490
"0 Hele landet","Innvandrere","Benin",17,18,25,27,30,27,28,28
"0 Hele landet","Innvandrere","Botswana",64,64,63,68,75,70,68,68
"0 Hele landet","Innvandrere","Det britiske territoriet i Indiahavet",0,0,3,0,0,0,3,3
"0 Hele landet","Innvandrere","Burkina Faso",23,24,28,29,30,32,33,31
"0 Hele landet","Innvandrere","Burundi",951,982,1014,1043,1068,1081,1056,1075
"0 Hele landet","Innvandrere","Djibouti",34,41,47,50,52,54,59,62
"0 Hele landet","Innvandrere","Egypt",697,761,804,903,958,1038,1061,1128
"0 Hele landet","Innvandrere","Ekvatorial-Guinea",3,3,3,4,9,12,10,11
"0 Hele landet","Innvandrere","Elfenbeinskysten",226,235,239,254,261,265,298,304
"0 Hele landet","Innvandrere","Eritrea",4759,6536,8135,10040,12366,14741,17592,19957
"0 Hele landet","Innvandrere","Etiopia",4219,4724,5172,5683,6217,6716,7410,7888
"0 Hele landet","Innvandrere","Gabon",7,6,6,10,12,8,9,11
