"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,839,347.3",""
"2006","European Union (28 countries)","Terajoule","All products","Gross inland consumption","77,009,792",""
"2006","Euro area (19 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,296,538.1",""
"2006","Euro area (19 countries)","Terajoule","All products","Gross inland consumption","54,283,456",""
"2006","Belgium","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","58,050.8",""
"2006","Belgium","Terajoule","All products","Gross inland consumption","2,430,471",""
"2006","Bulgaria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","20,398.8",""
"2006","Bulgaria","Terajoule","All products","Gross inland consumption","854,057",""
"2006","Czech Republic","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","46,596.0",""
"2006","Czech Republic","Terajoule","All products","Gross inland consumption","1,950,880",""
"2006","Denmark","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","21,039.1",""
"2006","Denmark","Terajoule","All products","Gross inland consumption","880,865",""
"2006","Germany (until 1990 former territory of the FRG)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","351,600.3",""
"2006","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Gross inland consumption","14,720,801",""
"2006","Estonia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","5,483.9",""
"2006","Estonia","Terajoule","All products","Gross inland consumption","229,602",""
"2006","Ireland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","15,610.5",""
"2006","Ireland","Terajoule","All products","Gross inland consumption","653,582",""
"2006","Greece","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","31,584.7",""
"2006","Greece","Terajoule","All products","Gross inland consumption","1,322,389",""
"2006","Spain","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","144,436.7",""
"2006","Spain","Terajoule","All products","Gross inland consumption","6,047,274",""
"2006","France","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","272,466.5",""
"2006","France","Terajoule","All products","Gross inland consumption","11,407,627",""
"2006","Croatia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","9,715.3",""
"2006","Croatia","Terajoule","All products","Gross inland consumption","406,759",""
"2006","Italy","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","188,252.3",""
"2006","Italy","Terajoule","All products","Gross inland consumption","7,881,749",""
"2006","Cyprus","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,636.2",""
"2006","Cyprus","Terajoule","All products","Gross inland consumption","110,373",""
"2006","Latvia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,764.3",""
"2006","Latvia","Terajoule","All products","Gross inland consumption","199,472",""
"2006","Lithuania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","8,542.1",""
"2006","Lithuania","Terajoule","All products","Gross inland consumption","357,641",""
"2006","Luxembourg","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,723.4",""
"2006","Luxembourg","Terajoule","All products","Gross inland consumption","197,761",""
"2006","Hungary","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","27,458.8",""
"2006","Hungary","Terajoule","All products","Gross inland consumption","1,149,645",""
"2006","Malta","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","912.9",""
"2006","Malta","Terajoule","All products","Gross inland consumption","38,222",""
"2006","Netherlands","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","83,319.8",""
"2006","Netherlands","Terajoule","All products","Gross inland consumption","3,488,434",""
"2006","Austria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","34,258.2",""
"2006","Austria","Terajoule","All products","Gross inland consumption","1,434,320",""
"2006","Poland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","96,852.0",""
"2006","Poland","Terajoule","All products","Gross inland consumption","4,055,001",""
"2006","Portugal","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","26,193.9",""
"2006","Portugal","Terajoule","All products","Gross inland consumption","1,096,686",""
"2006","Romania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","40,578.7",""
"2006","Romania","Terajoule","All products","Gross inland consumption","1,698,951",""
"2006","Slovenia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","7,327.7",""
"2006","Slovenia","Terajoule","All products","Gross inland consumption","306,798",""
"2006","Slovakia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","18,870.3",""
"2006","Slovakia","Terajoule","All products","Gross inland consumption","790,060",""
"2006","Finland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","37,503.4",""
"2006","Finland","Terajoule","All products","Gross inland consumption","1,570,193",""
